Experiment,Neurons,Learning Rate,Loss Function,Batch Size,LR Scheduler,MAE,MSE,RMSE,R²
125,100,0.01,mae,64,False,0.03962795392446076,0.0030474150410406933,0.05520339700635001,0.7454328483839143
126,100,0.01,mae,64,True,0.03249821034388812,0.002626778904725194,0.051252111222126195,0.7805708724622047
127,100,0.01,mse,16,False,0.03108351283441713,0.00255591550096604,0.05055606294962099,0.7864904779658344
128,100,0.01,mse,16,True,0.04102740492197231,0.0032123880179629385,0.056677932371981765,0.7316517584230338
129,100,0.01,mse,32,False,0.04687647862163014,0.0036606565627490114,0.06050335992942054,0.6942054489875102
130,100,0.01,mse,32,True,0.04449145737217692,0.0035714961161712098,0.059761995583909426,0.701653505985476
131,100,0.01,mse,64,False,0.0449847902926972,0.0035533171320224926,0.05960970669297486,0.7031720953970556
132,100,0.01,mse,64,True,0.048746854670164035,0.0039185910582110895,0.06259865061014566,0.6726587778157063
133,100,0.0001,mae,16,False,0.04796735483214136,0.005429461439332923,0.07368487931273908,0.5464475580758614
134,100,0.0001,mae,16,True,0.046407909218050256,0.005076397075870303,0.07124883911945726,0.5759409444815189
135,100,0.0001,mae,32,False,0.05150486204116973,0.006978014715778605,0.08353451212390364,0.4170884811527814
136,100,0.0001,mae,32,True,0.047426082145392394,0.005169798565700583,0.07190131129333166,0.5681386100759391
137,100,0.0001,mae,64,False,0.0598704635313533,0.009259108076728322,0.09622425929425657,0.22653634708277737
138,100,0.0001,mae,64,True,0.053868482649164794,0.00557711305246674,0.07468007132071273,0.5341134158337335
139,100,0.0001,mse,16,False,0.06601377859025143,0.007551390313992163,0.08689873597465134,0.36919129915503535
140,100,0.0001,mse,16,True,0.060816657984159805,0.005789889917064171,0.07609132616181802,0.5163390071559213
141,100,0.0001,mse,32,False,0.06425082470020302,0.006751673752307166,0.08216856912656546,0.4359959727773183
142,100,0.0001,mse,32,True,0.06294287815811186,0.006626497225180589,0.08140329984208619,0.44645264885545577
143,100,0.0001,mse,64,False,0.057091192973015424,0.007468343617174503,0.08641957889954395,0.37612864138616675
144,100,0.0001,mse,64,True,0.3300497599087434,0.12099892236751719,0.3478489936272882,-9.107698032886168
